company,jobrequest,salary,tags,title
,,,,
上海思贤信息技术股份有限公司,,2-4万/月,上海-徐汇区  |  3-4年经验  |  本科  |  招若干人  |  08-14发布,自然语言处理/NLP 算法工程师
北京粉笔蓝天科技有限公司,"工作职责： ,中文/英文写作批改相关,具体职位要求：,计算机相关专业本科及以上学历,熟悉分词、数据挖掘等相关算法,开发及学习能力强,熟练掌握 Java 等编程语言,有知识图谱相关经验者优先,关于粉笔科技：    ,北京粉笔蓝天科技有限公司成立于2015年2月，总部位于北京，2017年在南京、济南、武汉、广州等地设立分公司。  ,粉笔科技是一家基于移动互联网的在线教育培训企业，技术团队主要成员来自腾讯，百度，新浪，网易等。 ,粉笔科技2017年营收过5亿，连续三年保持300%增长。  ,薪酬：日薪600元,邮件标题请使用“应聘{job_title}”",600元/天,北京-朝阳区  |  无工作经验  |  招5人  |  08-14发布,（校招/实习生）粉笔科技NLP 研发工程师
OPPO,"岗位职责:,1、负责自然语言处理与理解的基础平台的搭建，包括分词、命名体识别、知识库与知识图谱、语言模型、句法分析、情感分析、文本分类、数据挖掘等,2、负责针对具体业务场景和产品的工具适配与模型调优，大规模模型训练及测试工具的开发，语料库的长期挖掘积累与清洗,3、负责跟进行业前沿技术发展趋势并规划研发工作，跟踪国际最新算法发展方向和相应技术并选择性快速开发原型系统,岗位要求：,1、计算语言学、计算机、电子信息、自动化等相关专业硕士以上学历,2、熟悉Linux下C/C++/Java开发技术，Python,3、熟悉word2vec、Fasttext、Tensorflow、Torch等工具的使用，有大型NLP/NLU平台开发经验优先",4-5万/月,北京-朝阳区  |  无工作经验  |  招3人  |  08-14发布,自然语言处理与理解算法 NLP/NLU
恩梯梯数据（中国）信息技术有限公司北京分公司,"  ,  ,  ,  ,  ",1.5-3万/月,北京-朝阳区  |  3-4年经验  |  本科  |  招3人  |  08-14发布  |  计算机科学与技术 数学与应用数学,NLP算法应用工程师
深圳达闼科技控股有限公司,"岗位职责：,1、参与构建行业/领域知识库,2、参与搭建知识管理平台,岗位要求：,1、计算机、数学、统计学、语言学相关专业；,2、熟悉机器学习与NLP基础理论和常用算法；,3、至少在文本挖掘、NLP、知识库等方向有1年工作经历；,4、熟悉深度学习或者caffe、tensorflow等开源框架者优先。",2-4万/月,北京-朝阳区  |  无工作经验  |  招若干人  |  08-14发布,NLP算法工程师（知识库方向）  编辑
360金融,"职位描述：,1. 负责智能催收、智能客服、智能质检等项目NLP算法模型新馆工作,2.参与基础数据收集整理及特征工程建设,任职资格：,1.计算机，数学，统计学等相关专业硕士以上学历，3年以上NLP工作经验,2.具有扎实的数据结构及算法基础，有机器学习/数据挖掘/自然语言处理等方面的实际应用开发经验,3.有深度学习应用经验者优先",3-4万/月,北京-朝阳区  |  无工作经验  |  招4人  |  08-14发布,NLP算法工程师
北京双泽维度信息技术有限公司,"1、配合项目计划，负责软件系统设计、编码、调试工作。,2、配合开发部主管制定相关软件开发和调试的标准。,3、完成语言模型、分词、词性标注、命名实体识别、关键词抽取、词向量计算、段落向量计算、段落相似度计算、自动文本摘要等NLP功能的代码研发工作。,4、完成领导交代的其它事宜。,任职要求：,1、全日制本科及以上学历，计算机相关专业;,2、了解Java语言、JavaScript,了解Spring等常用开发框架；,3、具有良好的编码习惯，编写结构清晰、命名规范、逻辑性强、代码效率高；,4、深入理解软件工程思想；,5、有较强的算法基础，具备机器学习/数据挖掘/文本挖掘理论和技术基础，有算法优化经验这优先考虑；,6、具有良好自主学习能力和团队合作精神，有一定沟通、协调能力。",1-1.5万/月,武汉-洪山区  |  3-4年经验  |  本科  |  招1人  |  08-14发布,JAVA开发工程师兼NLP算法工程师
重庆维普资讯有限公司,"1、语义网构建，主题模型，获取本体概念层次。,2、文本分类，文本聚类、文本摘要。,任职要求：,1、机器学习、NLP、计算机、统计学专业，本科及以上学历；,2、熟悉Java、Python等编程语言；,3、熟悉大规模机器学习、自然语言处理、分布式计算等相关技术；,4、熟悉mapreduce、tensorflow相关技术。,5、良好的团队合作精神、沟通能力。,（年薪：24-40W）",2-2.5万/月,重庆-渝北区  |  1年经验  |  本科  |  招2人  |  08-14发布,自然语言(NLP)算法工程师(职位编号：1)
杭州顺网科技股份有限公司,"工作职责：,1、负责利用自然语言处理技术和机器学习算法对海量文本数据进行挖掘，包括但不限于，文本分词、分类、情感分析、语义理解、文本相关性等；,2、完善和优化现有业务中算法；,3、参与自然语言基础平台建设。,任职要求：,1、计算机或相关专业硕士以上学历，具有扎实的数学、计算机科学功底和良好的编程基础；,2、对数据结构和算法设计有深刻理解，掌握C/C++/Java/Python/Scala等至少一门高级编程语言；,3、掌握机器学习常用分类，回归，聚类模型和优化算法；,4、理解自然语言处理常用的算法，如WORD2VEC，CRF，LDA，LSA，SVD等，并有实践经验；",1.5-2.5万/月,杭州  |  3-4年经验  |  硕士  |  招1人  |  08-14发布,算法工程师（NLP方向）
