company,jobrequest,salary,tags,title
,,,,
北京中闰建设有限公司,,1-1.5万/月,北京-海淀区  |  3-4年经验  |  本科  |  招20人  |  08-14发布,人脸识别销售代表（总监）
杭州慧芯智识科技有限公司,"岗位职责：,根据公司业务，进行人脸检测、人脸跟踪、人脸配准、人脸验证、活体检测前沿技术的算法研究,任职要求：,""1. 硕士/博士学历，计算机或者数学、图像处理、模式识别、机器学习相关专业；,2. 熟练掌握模式识别领域相关知识，具有研究和开发相关产品核心算法的经验;,3. 熟悉boosting、svm、神经网络，有deep learning研究经验者优先（熟悉caffe、TensorFlow、mxnet、paddle中至少一种开源深度学习框架）；,4. 熟练应用vc，Python，matlab等编程工具；,5. 有扎实的数字图像处理、机器学习和模式分类等相关方面的理论基础和实践经验；,6. 有相关人脸识别工作经验者优先；""",1-2万/月,杭州-西湖区  |  无工作经验  |  硕士  |  招若干人  |  08-14发布,人脸识别/图像算法工程师
北京捷通华声科技股份有限公司,"岗位职责：,1、负责灵云人脸识别相关核心技术算法研究与引擎产品化等开发工作；,2、负责人脸识别项目商业化落地算法优化；,3、包括人脸图像预处理工作、人脸检测、特征点定位、配准和识别；,4、负责人脸识别模型的设计、训练；,5、有效带领技术团队，建立并完善公司各项研发规范及流程；,6、培养下属成员，提高团队整体专业技能。, ,任职要求：,1.学历要求：, -毕业于统招硕士以上学历，博士优先。,2.能力要求：, -熟悉声纹识别/人脸识别/指纹识别等的相关算法及实现原理，有相关工作经验或者实验室经验；, -有LR/Adaboost/GMM/SVM/CRF/MaxEnt/HMM/DNN/CNN/RNN的研究背景，熟练掌握CUDA编程；, -熟练掌握Python/Matlab/C++，能够无障碍阅读英文论文；, -能够在ensorFlow/Torch/Theano/Keras/Mxnet/Currennt上开展实验；, -能够对接声纹识别/人脸识别/指纹识别算法研究成果，能够对声纹识别/人脸识别/指纹识别算法进行工程实现和优化；, -对算法有深入了解，对工程优化有丰富经验；, -有团队管理经验。",3-6万/月,北京  |  5-7年经验  |  硕士  |  招1人  |  08-14发布,图像算法专家（人脸识别）
四川川大智胜软件股份有限公司,,4-7千/月,成都  |  无工作经验  |  招若干人  |  08-14发布,技术支持工程师(人脸识别)
深圳市零壹移动互联系统有限公司,"岗位职责:,1). 负责人脸识别、人脸跟踪、大规模人脸检索等关键技术研究；,2). 负责大规模人脸检索系统的研发、产品化落地。,岗位要求:,1). 计算机相关专业，精通图像处理、人脸识别理论和算法，尤其对视频中大规模人脸识别，有很好的研究积累和创新能力，对计算机视觉有深入学习了解应用的优先；,2). 对机器学习、深度学习有较深理解和应用，能独立开展研发工作；,3). 极佳的工程实现能力，精通C/C++、Matlab、Python等至少一门语言；,4). 思维活跃，能快速学习新知识，对技术研发富有激情。,一经录用，公司将提供有竞争力的薪酬和良好的个人发展空间，员工福利包括：,1、五天工作制，周末双休；,2、公司为每位员工缴纳五险一金；,3、公司提供午餐补助；,4、每天为大家提供丰盛的下午茶；,5、半年或一年一次团队旅游；,6、法定节日及法定假期；,7、传统节日福利礼品或奖金；,8、培训（完善的部门培训）；,9、骨干员工分配股权；,10、绩效奖励及年终奖金；,11、各种经常性的团队建设活动、企业文化活动。",1.5-3万/月,深圳-龙华新区  |  3-4年经验  |  本科  |  招1人  |  08-14发布,人脸识别工程师
北京捷通华声科技股份有限公司厦门办事处,"1.负责人脸识别（AFR）的算法研究和工程实现；,2.通过持续优化人工智能识别算法和机器学习模型，提升人脸识别的准确度和效率，提升应用的客户感知； ,3.负责人脸识别的研发、产品化落地； ,4.负责跟进行业前沿技术发展趋势，跟踪国际最新算法发展方向和相应技术。,任职资格：,1.学历要求：, -毕业于211或985院校、统招硕士及以上学历，计算机相关专业。,2.工作经验：, -有相关工作经历或实验室研究背景。,3.能力要求：, -了解当前人脸识别的方法，能够跟踪最新的研究方向；, -有图像处理/信号处理/模式识别/统计分析的相关背景知识；, -熟练掌握Python/Matlab/C++，有一定的软件开发项目经验；, -有LR/Adaboost/GMM/SVM/CRF/MaxEnt/HMM/DNN/CNN/RNN的研究背景，熟练掌握CUDA编程；, -能够流畅阅读英文文献。,4.优先考虑：, -能够在Caffe/TensorFlow/Torch/Theano/Keras/Mxnet/Currennt上开展实验者。",1.5-3万/月,厦门  |  1年经验  |  硕士  |  招2人  |  08-14发布,人脸识别算法工程师（AFR）
北京天源迪科信息技术有限公司,"岗位描述：,1.负责创新业务和产品的设计开发。,2.负责核心算法的工程服务化、性能优化。,3.负责协同业务、设计、算法、前端各方一起完成团队目标。,岗位要求：,1.软件工程理论基础扎实，熟悉分布式服务理论基础。有软件分层概念，熟悉设计模式及原则。,2.Java基础扎实，熟悉jvm内存管理、GC算法，熟悉JVM参数调优，熟悉java集合类、多线程、JNI；熟悉并发编程。有良好的编程习惯。,3.精通java web开发。掌握spring(springboot、spring mvc)、mybatis应用及其原理，有前端开发经验优先。,4.熟悉SOA、微服务架构；熟悉分布式、缓存、消息等常见开源框架。,5.熟悉linux常用命令，熟悉python/shell脚本语言，熟悉C\C++，有sql优化、算法开发经验优先。,6.具有创新思维，学习能力强，有一定的抗压能力，善于沟通和团队协作，乐于分享。,7.对人工智能技术的发展有浓厚兴趣。",0.8-1.2万/月,北京-海淀区  |  1年经验  |  本科  |  招2人  |  08-14发布,java开发工程师（人脸识别方向）
上海资汇信息科技有限公司,"负责人脸识别、人脸跟踪、大规模人脸检索等关键技术的研发；    ,负责从工程角度出发优化人脸识别应用的性能和用户体验。,职位要求：    ,计算机相关专业，对机器学习、深度学习有一定的了解； ,对计算机视觉有深入学习了解应用的优先；       ,极佳的工程实践能力，熟练掌握Java、C/C++、Python等至少一门语言；,熟练运用TensorFlow、MXNet、Keras、Theano等任一深度学习框架的优先；,有人脸识别工作相关经验者优先；思维活跃，能快速学习新知识，对技术研发富有激情。",1.5-3万/月,上海-普陀区  |  2年经验  |  本科  |  招3人  |  08-14发布,人脸识别研发工程师
汉王科技股份有限公司,,1-1.5万/月,北京-海淀区  |  2年经验  |  大专  |  招2人  |  08-14发布,行业客户经理（人脸识别安防）
