company,jobrequest,salary,tags,title
,,,,
深圳蚁穴网络科技有限公司,,1.5-3万/月,深圳-福田区  |  3-4年经验  |  本科  |  招2人  |  08-14发布,图像识别算法工程师
新天科技股份有限公司,"任职要求：,1、 熟练掌握使用C++等开发语言，熟悉MFC、OpenCV等应用技术；,2、 熟悉图像识别的基本算法，基本应用；,3、 熟悉软件开发基本思路及流程， 能够编写基本的开发文档；,4、 有2年以上工作经验，熟悉电子行业、有智能仪表行业系统开发经验者优先考虑；,5、 统招本科及以上学历, 计算机、通信专业或相关专业均可。,有意者请先投递简历或将简历发至邮箱:hr@suntront.com, 请按以下标准填写邮件主题：应聘/**(职位) /***(姓名) 。,接到面试通知后,请应聘者按照通知的时间携带本人简历、毕业证复印件、身份证复印件及其它相关证件复印件到公司人力资源部面试，一经录用，待遇从优。,联系电话：王老师   李老师    0371-56160815  56160811,乘车路线：可先乘B67、B12，再换乘B28到终点站（即杜英街红松路）下车，沿杜英街向西走50米，左转向南走100米路东即到公司。,总部地址：郑州高新技术开发区红松路252号新天科技国际智能能源仪表产业园,公司网址：www.suntront.com",0.6-1.2万/月,郑州  |  2年经验  |  本科  |  招3人  |  08-14发布  |  英语良好,图像识别开发工程师
苏州优众企业管理咨询有限公司,"工作职责：,1.负责工业机器人数字识别、文字识别、表计识别等开发工作；,2.基于深度学习的目标检测环境搭建与开发工作；,3.参与框架优化、性能优化、系统优化重构等工作； ,4.参与系统架构设计；,5.参与技术支持工作；,任职资格：,1、硕士及以上学历，熟练掌握图像处理与模式识别，以该专业为研究方向者优先；,2、熟悉基本的图像处理，例如去噪、增强、分割、校正、特征检测及匹配、图像多尺度分析等； ,3、具备一定的编程基础，熟悉c/c++、python至少一种，熟悉opencv等视觉库；,4、熟悉电力设备表计识别、数字识别等经验者优先； ,5、具备良好的机器学习理论知识，熟悉TensorFlow框架，具有实际应用经验者优先；,6、具备良好的逻辑沟通能力和解决实际问题的能力。",1.5-2.5万/月,南京-雨花台区  |  2年经验  |  本科  |  招若干人  |  08-14发布,图像识别工程师
北京新媒传信科技有限公司,"岗位职责：,1、负责视频/图像识别系统的架构设计及搭建部署；,2、负责视频/图像识别算法的研究、开发；,3、针对视频/图像识别需求与客户沟通及需求支撑。,任职要求：,1、 计算机科学/信号与信息处理/模式识别/机器学习等相关专业,本科或以上学历；,2、 有图像识别或视频算法研究背景经验，有五年工作经验，两年及以上相关方向工作经验；,3、 精通一个或多个主流深度学习框架，如Tensorflow、Caffe、Keras等；,4、 精通机器学习常用算法，对于CNN、RNN、 LSTM等主流深度学习模型有丰富的开发经验；,5、耐心负责，心思细腻，有较强的团队协作意识和能力。",800元/天,北京  |  5-7年经验  |  本科  |  招1人  |  08-14发布,视频/图像识别算法工程师
上海闪闪互联网金融信息服务有限公司,"1、负责图像OCR识别等技术的产品实现；,2、负责图像处理和图像识别的技术研发。,（二）任职要求：,1、精通图像处理、模式识别、计算机视觉理论，有较强的数学功底和理论基础；,2、五年以上图像处理、识别开发实战经验；,3、精通C++或者Python等任一门语言；,4、有使用OpenCV开发经验者优先；,5、有较强的工程实现的能力，能够将算法落地到实际的产品中；,6、具有较强的学习能力，具备良好的沟通能力。",2-2.5万/月,上海-闵行区  |  5-7年经验  |  本科  |  招1人  |  08-14发布,图像识别开发工程师
西安盈通思科软件科技有限公司,"1、负责视频数据人脸识别，及相关视频图像数据的识别实现。,2、负责调研计算机视觉、机器学习及深度学习最前沿算法，并根据需求完成技术转化。,1、 模式识别、图像处理、计算机或应用数学相关专业； ,2 、熟悉C/C++编程，熟悉掌握opencv、PIL等图像处理库；,3 、对视频数据有识别处理经验优先；（需有一个以上项目经验）,4 、有人脸检测识别实际项目相关经验优先。（需有一个以上项目经验）,1、晋升空间：高级开发工程师-项目主管-项目经理；,2、公司缴纳五险一金、补充医疗保险及不定期员工旅游。,【注】：请在传交简历后与公司联系，确认简历投放，以便为您安排面试时间,                面试联系方式：029-68836081       ,邮箱：postmaster@yestonsicico.com,              公司网站:http://www.yestoncisico.com",1.5-2万/月,西安  |  3-4年经验  |  本科  |  招2人  |  08-14发布,图像识别工程师
上海甜头菜电子商务有限公司,,1.2-2万/月,上海-浦东新区  |  无工作经验  |  招1人  |  08-14发布,图像识别工程师
杭州南江机器人股份有限公司,"工作内容： ,基于深度学习的图像识别与语义理解。 ,技能要求： ,1、计算机相关专业硕士及以上； ,2、熟悉机器学习、图像处理基本概念及主流方法，有深度学习、神经网络相关经验优先； ,3、熟练运用C/C++，有MATLAB、Python开发经验优先； ,4、熟练阅读英文文献；,5、有caffe、CUDA开发经验优先。",1-1.5万/月,杭州-滨江区  |  2年经验  |  硕士  |  招2人  |  08-14发布  |  计算机科学与技术 软件工程,算法工程师（图像识别方向）
杭州煎饼网络技术有限公司,"岗位职责：,1、 负责对图片的识别工作设计与研发,2、 负责针对不同的类型的图片进行模型训练、清洗,职位要求：,1、计算机、数学、计算机相关专业本科以上学历，1年以上相关工作经验,2、熟悉c/c++，熟悉java/c#，项目需要提供图像识别接口，需要有一定的程序语言编程能力,3. 具备扎实的数学功底，数据结构与算法，较强的逻辑思维能力,3、熟悉OCR/OpenVC等，具备一定的图像识别处理能力,4、熟悉图像处理基本方法(边缘检测，区域提取， 低通滤波，特征提取，交点检测放，二值化等),5. 从事过基于OCR/OpenVC/EmguC等图像特征提取或验证码识别的算法工作的优先考虑,6. 从事过图像算法工作或经历的优先考虑，例如：医疗影像，图文识别，人脸识别，车牌识别等等",0.8-1万/月,杭州  |  2年经验  |  大专  |  招1人  |  08-14发布,图像识别工程师
西湖电子集团有限公司,,1-1.5万/月,杭州  |  无工作经验  |  博士  |  招1人  |  08-13发布,博士后（机器人图像识别技术及自动化控制技术）
