company,jobrequest,salary,tags,title
武汉爱速达机器人科技有限公司,"1、基于多源传感器和定位信息，研发特定封闭环境下的自动驾驶轨迹规划算法；,2、负责轨迹规划算法的开发、调试与实车验证；,3、与其他模块工程师协同完成系统集成和调试工作。,岗位要求：,1、熟练掌握C++、Python；,2、熟悉Linux和ROS，熟悉ROS下机器人系统的研发；,3、熟悉常见轨迹规划算法；,4、负责或参加过智能车/机器人/无人机的路径规划算法的项目者优先。",1-2万/月,武汉-洪山区  |  2年经验  |  本科  |  招2人  |  07-02发布,无人驾驶轨迹规划算法工程师
中冶赛迪重庆信息技术有限公司,"岗位职责：,以无人驾驶为中心的智慧物流系统研发（无人仓库、无人火车、无人卡车），本岗位主要为针对相关车辆硬件开发与测试工作,岗位要求：,1 本科及以上学历，车辆工程或机械自动化相关专业；,2 具有车辆方向或者无人驾驶技术背景，具有一定的英语听说读写能力；,3 具有以下一种编程语言能力者优先：PLC控制语言，C/C#/C++，Java；,                        ,4 具有良好的沟通能力合作和学习能力，抗压能力强，善于接受新事物。",6-8千/月,重庆  |  无工作经验  |  本科  |  招3人  |  08-09发布,无人驾驶硬件工程师
中国大地财产保险股份有限公司线上事业部,"岗位要求：,                                           4. 拥有一定的无人驾驶相关资源。",,上海-浦东新区  |  3-4年经验  |  本科  |  招1人  |  08-01发布,无人驾驶产品开发岗
上海图趣信息科技有限公司（Wayz.ai）,,2-4万/月,上海-浦东新区  |  无工作经验  |  硕士  |  招1人  |  07-09发布,产品经理（无人驾驶高精地图）
北京卡讵人才服务有限公司,"工作内容：,o 融合多传感器感知和定位数据，研发特定场景下无人驾驶算法,o 开发和部署无人驾驶系统原型,经验要求：,硕士以上学历，机器人，无人车，计算机相关领域优先,o 具有立体视觉，SLAM，道路场景目标检测等相关经验优先 ,o 具有机器人设计，无人车设计比赛经历者优先，熟悉控制理论者优先,o 精通C, C++语言编程和软件开发方法，熟悉Windows, LINUX操作系统,o 要求具有较高的英语水平",2-4万/月,北京  |  3-4年经验  |  硕士  |  招1人  |  07-05发布,无人驾驶研究员
上汽通用五菱汽车股份有限公司,"    岗位职责：,      1、深入学习、掌握公司现有电动汽车架构及无人驾驶架构，积极了解国内外无人驾驶技术发展现状；,      2、负责无人驾驶汽车现场改制、调试、测试等工作，积极解决整车集成、调试、测试过程中遇到的问题并记录汇总等；,      3、针对不同无人驾驶应用场景，设计不同的硬件及软件方案；,      4、负责前期研究及量产时无人驾驶系统的集成开发，及后期可行性验证工作。,      5、负责无人驾驶量产项目中，无人驾驶零部件的装车测试，包括功能测试、耐久测试、可靠性测试等；,      6、负责项目演示工作，能够独立接待体验用户，解决突发状况。,      岗位要求：,      1、车辆、机械、电子、计算机等专业硕士及以上学历，“985”、“211”工程院校优先；两年或两年以上汽车或无人驾驶相关工作经验者优先；,      2、熟悉电动汽车基本架构，具有一定的无人驾驶知识储备，能够独立完成测试任务；,      3、熟悉Linux操作系统；,      4、具有一定无人驾驶开发测试经验者优先；,      5、具有良好的沟通能力，认真踏实，有强烈的责任心。,      ",,柳州  |  无工作经验  |  招若干人  |  07-09发布,无人驾驶集成测试工程师
艾尔维汽车工程技术（上海）有限公司," ,The Software Engineer (m/f) for Autonomous Driving and Active Safety will support both series and pre-development projects: ",1-1.5万/月,上海-嘉定区  |  3-4年经验  |  硕士  |  招若干人  |  08-06发布  |  英语熟练 德语熟练  |  车辆工程 计算机工程,软件工程师 -- 无人驾驶（第4/5阶段）与主动安全
奇瑞汽车股份有限公司,"工作职责:,1、无人驾驶汽车感知系统算法评测、标定等开发调试工作,2、负责无人车感知相关模块的API接口设计、编码及测试工作,3、负责无人车感知相关模块单元测试/自动化测试工作,4、负责相关技术文档的编写,1. The development and debugging of the evaluation and calibration of the unmanned vehicle perception system algorithm,2. Design, coding and testing of API interface responsible for unmanned vehicle perception related modules,3. The unit test / automation test for the unmanned vehicle perception related module,4, responsible for the compilation of related technical documents,任职资格:,1、学历：本科及以上；工作经验：3年及以上相关经验,2、专业：计算机、控制、电子等相关专业。,3、熟悉一种或以上语言，C/C++、Python等,4、有车载传感器研发、检测等工作经验者优先,5、有PAT/CCF成绩者优先录用,6、具备较好的沟通表达能力和团队合作意识,1, education: undergraduate and above; work experience: 3 years and above related experience,2. Major: computer, control, electronics and other related specialties.,3. Familiar with one or more languages, C/C++, Python, etc.,4. Working experience in vehicle sensor research and testing is preferred,5. Give priority to PAT/CCF performance,6. Good communication and expression ability and teamwork consciousness",,芜湖  |  3-4年经验  |  本科  |  招5人  |  08-03发布,设计师（无人驾驶）J10713
成都诺博特科技有限公司,"1. 从事低速无人驾驶车辆VCU控制器的设计和相关技术研发，熟悉CAN等汽车电子通信模块的应用。,2. 熟悉模拟、数字电路、电力电子线路、磁性器件、大功率半导体器件特性和应用，能够应用常规电源IC，DSP或MCU进行相关硬件电路设计,3. 精通电路分析、开关电源各种电路拓扑及其参数优化设计、功率变压器和电感磁性元件的设计,4. 解决技术问题、应用新技术、达成项目产品的性能和成本控制目标，按期保质交付客户使用,5. 独立完成或在指导下完成项目技术方案评估，技术验证，电路原理图、电路参数设计选型，PCB Layout,6. 电路的调试，功能测试和可靠性功能验证，完成技术文档的编写和归档,职位能力要求：,1. 电力电子及电力传动，电气自动化，电子技术，应用电子技术等相关专业，本科及以上学历,2. 本科3年以上，硕士2年以上汽车电子设计经验,3. 扎实的电力电子技术，电路，数电模电基础和较强的实验动手能力,4. 工作踏实努力、积极主动、善于表达、性格稳重，团队合作性强,5. 有一定的英文阅读能力，如果口语好更佳,6. 精通EMC电路设计和调试；精通多模块并联的各种技术",0.8-1万/月,成都  |  无工作经验  |  本科  |  招2人  |  07-05发布,汽车电子工程师（低速无人驾驶方向）
南京金龙客车制造有限公司,"1. 根据项目进展要求，完成ADAS项目控制器底层架构；,2. 根据产品功能需求，完成项目进行Simulink到C语言控制算法的改变；,3. 完成传感器信息融合、控制策略工作；,4. 具有完备的职业道德素养。,技能描述：,1. 硕士研究生及以上学历，有完整的项目开发经验；,2. 掌握整车控制及车辆动力学方面相关知识；,3. 博士研究生从事智能驾驶相关课题；,4. 掌握C语言底层与应用层开发者，有算法开发经验者优先；,5. 从事智能驾驶相关工作2年以上者优先。",1-2万/月,南京  |  2年经验  |  硕士  |  招3人  |  08-11发布,主动安全/无人驾驶
