company,jobrequest,salary,tags,title
,,,,
上海格诺生物科技有限公司,,0.8-1.2万/月,上海-浦东新区  |  无工作经验  |  本科  |  招1人  |  08-14发布,生物信息算法研究员
杭州慧知连科技有限公司,"工作内容：,根据公司业务，进行人脸检测、人脸跟踪、人脸配准、人脸验证、活体检测前沿技术的算法研究,岗位要求：,1. 国内一流大学硕士/博士学历，计算机计算机或者数学、图像处理、模式识别、机器学习相关专业；,2. 具有三年以上从事模式识别算法研究工作经验；,3.  熟练掌握模式识别领域相关知识，具有独立研究和开发核心算法的能力;,3. 熟悉boosting、svm、神经网络，有deep learning研究经验者优先（熟悉caffe、TensorFlow、mxnet、paddle中至少一种开源深度学习框架）；,4. 熟练应用vc，Python，matlab等编程工具；,5. 有扎实的数字图像处理、机器学习和模式分类等相关方面的理论基础和实践经验；,6. 有相关人脸识别工作经验者优先；",2.5-5万/月,上海-静安区  |  3-4年经验  |  硕士  |  招若干人  |  08-14发布,资深图像算法研究员（上海）
北京中创信测科技股份有限公司,"岗位职责：,1、 构建和定义分析指标体系；,2、 基于业务应用场景建立和优化基础算法模型；,3、 针对具体数据利用各种挖掘算法进行数据关系探索；,4、 利用机器学习算法实现分类、预测等；,5、 完成上级领导交办的其它工作。,任职资格:,1、 计算机、数学或者统计学相关专业本科及以上学历，本科3年以上工作经验，有大数据分析经验优先；,2、 优秀的分析问题和解决问题的能力，具有较好的归纳能力与较好的文字和语言表达能力； ,3、 至少熟悉Python/Java/Scala其中之一，熟练掌握SQL，有算法模型实施经验； ,4、 熟悉常用统计理论和数据挖掘算法的一种或者多种（如线性模型，朴素贝叶斯，决策树，支持向量机，随机森林，神经网络，逻辑回归，聚类分析，推荐算法，广告算法，PCA，SVD等）者优先； ,5、 熟悉Spark大数据分析生态环境，熟悉Spark MLib或者Spark Graphx者优先； ,6、 熟悉深度学习或者机器学习类算法者优先； ,7、 具备良好的团队精神、沟通能力和表达能力，有较强的数据敏感度，良好的沟通协调能力。",1.5-2.5万/月,南京-江宁区  |  3-4年经验  |  本科  |  招1人  |  08-14发布,大数据分析算法研究员
北京智慧眼科技股份有限公司,,2-4万/月,北京-海淀区  |  无工作经验  |  招若干人  |  08-14发布,计算机视觉算法研究员
上海时代天使医疗器械有限公司,,30-40万/年,上海-杨浦区  |  无工作经验  |  硕士  |  招1人  |  08-14发布  |  数学与应用数学 力学,高级算法研究员
中科探海（苏州）海洋科技有限责任公司,,0.5-1万/月,张家港  |  无工作经验  |  硕士  |  招4人  |  08-14发布,算法研究员
北京人人金服投资管理有限公司,"岗位职责：,1. 利用统计分析建模、机器学习算法、自然语言处理等技术方法，针对国内外金融市场产品，研发量化投资策略；,2. 包括但不限于量化 FOF 基金分析与投资策略研发；债券等固收产品的信用风险量化分析；股票、期货量化投资策略研发；金融财经舆情系统研发等；,3. 进行量化投资模型的研发与优化，进行程序化交易策略的代码开发，并协助客户和投资经理进行投资决策；,4. 参与部门日常管理和服务、软硬件建设、团队建设等各方面工作。,任职要求：,1.硕士及以上学历，计算机、金融工程，统计学，数学、物理等相关专业；,2. 熟练掌握至少一种编程语言（Python/JAVA/C++/C/R等，其中 Python 优先）； ,3. 有机器学习、数据挖掘、自然语言处理等经验者优先 ；,4. 有量化投资，FOF基金筛选，股票、期货量化交易经验者优先；,5. 熟悉MySQL, Sql Server等数据库的使用，能熟练使用SQL语言者优先；,7. 具备证券从业资格，CPA、CFA等资格证书者优先；,6. 有ACM竞赛获奖经历优先，有国际高水平会议论文者优先；,8. 精力充沛、乐于分享与交流、抗压能力较强、注重工作实效；",300元/天,北京-朝阳区  |  无工作经验  |  本科  |  招2人  |  08-14发布,算法研究员实习生
北京清软创新科技股份有限公司,"1、从事公司业务领域算法的研究、仿真、开发工作； ,2、负责对已有算法的实用化和优化进行的研究、仿真、开发工作。,任职资格：,1、硕士及以上学历，应用数学、统计数学、计算数学、电力等相关专业；,2、熟练掌握R语言、Python语言或Matlab工具；,3、熟悉各种统计方法、优化算法；,4、有扎实的数学基础，有算法相关的实际项目经验；,5、较好的沟通能力，能够熟练阅读英文文献，为人诚恳踏实，动手能力强；,6、有C/C++或者Java编程开发经验者优先；,7、有电力系统负荷预测、优化规划等相关算法编制者优先。",1.5-2万/月,北京  |  无工作经验  |  硕士  |  招1人  |  08-14发布,算法研究员
北京捷通华声科技股份有限公司厦门办事处,"""职位描述：,1. 负责输入法（IME）的算法研究与引擎设计开发；,2. 负责跟进行业前沿技术发展趋势，跟踪国际新算法发展方向和相应技术。,任职资格：,1. 毕业于211或985院校、统招硕士以上学历，计算机相关专业；,2. 了解当前输入法的方法，能够跟踪新的研究方向；,3. 了解语言模型的相关背景知识；,4. 至少掌握一门编程语言，有一定的软件开发项目经验（精通C/C++优先）；,5. 能够流畅阅读英文文献,6. 有相关工作经历或实验室背景优先；,7. 有LR/GMM/SVM/CRF/MaxEnt/HMM/LDA/DNN/CNN/RNN的研究背景者优先；,8.能够对输入法（IME）算法进行工程实现和优化。,""",1-2万/月,厦门  |  无工作经验  |  硕士  |  招1人  |  08-14发布,输入法算法研究员（IME)
