company,jobrequest,salary,tags,title
,,,,
苏州奇梦者网络科技有限公司,"a) 工作内容：,1. 负责语音识别声学模型，语言模型训练。,2. 跟踪、实验业界最新研究成果。,b) 任职要求,1. 具备独立思考，探索的能力，对未知领域有极大的热情与钻研精神。,2. 在模式识别、机器学习或者自然语言处理领域有丰富经验。,3. 有声学建模方面实践经验，掌握HTK工具或者kaldi工具。,4. 熟练使用过一种深度学习工具（CNTK，Caffe，Torch等）， 并且构建过基于深度学习模型的声学模型。",0.9-1.8万/月,苏州-工业园区  |  无工作经验  |  招2人  |  08-14发布,语音识别研究员
上海傲硕信息科技有限公司,"工作职责：语音识别引擎的开发，主要负责解码相关工作。,技术要求：1.计算机科学，电子工程，信息工程等相关专业；,                2.具备良好的编程能力，精通c/c++，熟悉python/Bash；",20-40万/年,上海-浦东新区  |  1年经验  |  本科  |  招2人  |  08-14发布,语音识别工程师
新浪微博,,4-7万/月,北京  |  5-7年经验  |  本科  |  招2人  |  08-14发布,00158-语音识别中高级算法工程师
北京远鉴科技股份有限公司,"工作职责：  ,- 负责语音识别中最核心的解码器的速度和效率优化  ,- 基于WFST等技术对识别解码图进行构建和优化  ,- 配合产品部门开发一些面向用户的产品  ,能力要求：  ,- 计算机、电子工程、信号处理等相关专业，对语音识别解码器模块有深入了解,- 独立实现过语音识别或字符识别算法中的解码器,- 数据结构和算法基础扎实  ,- 精通C/C++和脚本语言开发,- 熟悉kaldi/HTK/TenserFlow开源框架者优先 ",3-5万/月,北京-海淀区  |  3-4年经验  |  硕士  |  招1人  |  08-14发布,语音识别研发工程师(解码器方向)
信帧机器人技术（北京）有限公司,"岗位职责：,1、跟踪人工智能技术现状，调研分析目前各大厂商的语音识别引擎、语义分析引擎，比较优缺点，选取合适的识别分析引擎。,任职要求：,1、人工智能相关专业研究生实习生，有过语音识别，语义分析经验者优先。",200元/天,北京-朝阳区  |  无工作经验  |  本科  |  招4人  |  08-14发布,语音识别算法实习生
广州汇智通信技术有限公司,"（1）负责搭建语音识别（ASR）系统，负责海量数据的模型训练及连续语音识别系统的开发；,（2）负责嵌入式ASR搭建，优化和平台移植等工作，能够实现在线/离线实时语音识别能力；,（3）负责跟踪最前沿的语音识别技术，保持技术先进性；至少精通语音识别技术的一个模块，声学模型，语言模型，解码等，可以独立开展研发工作。,（1）对深度学习声学模型训练有深入实践经验，熟悉kaldi/transflow等深度学习工具，对DNN/RNN/LSTM/CTC有经验者优先；（2）熟悉语音识别技术，包括GMM/HMM等常用技术，有相关领域论文发表者优先；,（3）掌握C/C++，编程能力强，熟悉python或者其他脚本语言；,（4）硕士以上学历，计算机或数学相关专业；,（5）一年以上工作经验。,1、全年年收入约14.5个月工资，另外约有1.2万左右的现金福利；,2、六险一金，员工年度健康福利体检；其中住房公积金按照月度工资总额的12%购买；,3、五天7小时工作制。带薪年假、各类法定节假日、有薪假及出差探亲假等；,4、各类过节福利、节日礼品、生日礼品、慰问品等；,5、差旅费、差旅津贴、业务招待费、通讯补助、用餐补助、保密补贴等；,6、每月不定期暖心下午茶，部门不定期旅游、聚餐；,                            ,7、公司总部设有健身房、篮球场、乒乓球室、壁球室等休闲设施，并定期组织各类业余活动。",15-30万/年,广州  |  1年经验  |  硕士  |  招1人  |  08-14发布,语音识别研发工程师
深圳双猴科技有限公司,"岗位职责:,1、负责语音识别/语音合成/声学前端处理方向前沿算法的研究和开发工作；,2、负责语音识别/语音合成/声学前端处理方向具体业务的效果定制优化和分析工作。,1.能够独立从事语音识别算法的研究和语音识别引擎的开发移植工作。,2.熟悉开源工具（如Kaldi，CMUSphinx），有大规模语音系统训练经验。,3.有算法研究背景经验，对语音识别有较深入理解, 熟悉相关算法（如DNN，GMM，RNN、CNN等深度学习算法）及其常用工具如Caffe、CNTK、TensorFlow等；。,4.在信号处理、声学建模、语言建模、深度学习等领域有较深入研究。,5.有丰富的C++开发经验， 熟练使用脚本语言。,任职资格:,1、 重点院校硕士及以上学历，计算机、信号处理、自动化等相关专业，具备一定的模式识别、语音相关方面的理论知识；,2、具备中英文学术论文的调研能力，有从事研究型项目的经历；,3、 具备较好的C、C++或python编程能力，有一定的代码开发经历；,满足以下条件的优先考虑：,1. 熟悉RNN、CNN等深度学习算法及其常用工具如Caffe、CNTK、TensorFlow等；,2. 有语音识别、语音合成等相关方向较丰富的实际系统研究和开发经验者；,3. 在语音相关领域会议或国内外知名比赛中获得过优秀成果者。",1.5-3万/月,深圳-南山区  |  无工作经验  |  招3人  |  08-14发布,语音识别工程师
OPPO,"岗位职责:,1、负责语音识别和声纹识别、语种识别等产品的算法框架设计、声学模型、语言模型等的训练、测试、参数调优 ,2、负责针对具体业务场景和产品的模型调优，大规模模型训练及测试工具的开发、数据库挖掘积累与清洗,3、负责跟进行业前沿技术发展趋势并规划研发工作，跟踪国际最新算法发展方向和相应技术并选择性快速开发原型系统,岗位要求：,1.信号处理、计算机、电子信息、自动化等相关专业硕士以上学历,2.熟悉Linux下C/C++/Java开发技术，Python,3.熟悉HTK、Kaldi、Tensorflow、Torch等工具的使用，有解码器研发经验优先",4-5万/月,北京-朝阳区  |  无工作经验  |  招若干人  |  08-14发布,语音识别ASR算法
杭州声讯网络科技有限公司,"1、负责语音识别（ASR）算法的开发与优化；,2、负责上述算法在AI平台的实现。,岗位要求：,1、人工智能或计算机专业硕士及以上；,2、具有语音识别领域的研发工作经验；,3、对声学模型训练/解码器/识别算法其中之一有深入理解；,4、对MFCC,HMM,RNN,LSTM,CTC等算法有一定研究；,5、熟悉开源语音算法框架例如kaldi者优先；,6、熟悉深度学习框架者优先。",2-4万/月,杭州-滨江区  |  2年经验  |  硕士  |  招若干人  |  08-14发布,语音识别工程师
威盛电子（上海）有限公司,"·Working on the training of acoustic model, researching and improvement of speech decoding algorithm,·Tracing the latest technologies of speech recognition, and apply to projects,·负责语音识别声学模型的训练，Decoding相关算法的研究和优化,·跟踪语音识别***，并运用于实际项目中,岗位要求:,·Master C++ programming,·Be familiar with the theory of speech recognition, such as HMM，GMM model, Viterbi algorithm, WFST, DNN model.,·Be familiar with Kaldi platform, experienced in the training of acoustic model,·Good ability in reading paper,·扎实的C++编程功底,·熟悉语音识别相关原理，如HMM模型，GMM模型，Viterbi算法，WFST，DNN模型,·熟悉Kaldi开源平台，有声学模型训练相关经验,·具有较好的论文阅读能力",1.5-2万/月,上海-浦东新区  |  1年经验  |  硕士  |  招3人  |  08-14发布,语音识别算法工程师
滴滴出行,,2-2.5万/月,北京-海淀区  |  3-4年经验  |  本科  |  招1人  |  08-14发布,语音识别（语言模型）工程师(J180703008)(职位编号：J180703008)
