"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"字节跳动","自然语言处理工程师","23k-46k","北京 ","经验1-3年","本科及以上","全职","NLP","11:27  ","六险一金，免费三餐，租房补贴",,"北京-海淀区-北京市海淀区北三环西路43号中航广场","2018-08-13 21:14:26"
"平安科技","自然语言处理研究员（上海）","20k-40k","上海 ","经验不限","硕士及以上","全职","大数据 | 金融 | Python | 数据挖掘 | 机器学习","10:24  ","公司发展前景好，福利待遇好","岗位职责：","上海-浦东新区-唐镇-崂山路/上丰路","2018-08-13 21:14:29"
"京东集团大数据与智能供应链事业部","算法工程师-NLP方向","30k-60k","北京 ","经验3-5年","本科及以上","全职","算法 | 数据挖掘","2018-07-19  ","竞争力薪酬,平台有挑战,团队氛围好","职位描述：1、负责针对用户的评论内外部数据，以及业务反馈信息的数据采集和文本处理工作。2、负责建模，用于识别用户情感倾向、业务敏感性、业务问题定位，业务预警等方向的数据应用，改进业务产品效果和提升体验。3、参与建设基于内容的数据服务标签模型的底层架构，实现高质量的文本基础特征职位要求：1、熟悉常见爬虫框架和算法包，有扎实的代码（Python/Java/C++语言）开发能力。2、熟悉常见的自然语言处理(NLP)算法与模型（包括，语言模型、词袋模型，主题模型，w2v, CNN/RNN 等）；3、有实际的NLP项目经验，如中文分词、文本分类/聚类、情感分析、主题抽取等4、有阅读paper并改进算法的能力，专注NLP技术者优先，有专业刊物论文发表者优先。5、具备良好的沟通表达能力、团队合作精神，有较好的产品应用规划设计能力者优先。","北京-通州区-京东大厦","2018-08-13 21:14:31"
"第四范式数据智能部","自然语言处理研究员","20k-40k","北京 ","经验1-3年","本科及以上","全职","机器学习 | NLP | 算法","2018-08-08  ","人工智能,大牛超多,晋升空间,不打卡","1. 计算机相关专业本科及以上学历；","北京-海淀区-上地-上地颐泉汇3层","2018-08-13 21:14:34"
"Udesk－企业级智能客服平台研发","自然语言处理（NLP）","25k-50k","北京 ","经验3-5年","硕士及以上","全职","云计算 | 大数据 | 人工智能 | NLP | 数据挖掘 | 算法","10:21  ","待遇优厚,数据量大,地铁周边,团队务实","职位诱惑：创业公司、扁平管理、晋升机会多、发展速度快、团队牛，氛围好#职位描述：+ 基于现有业务的文本数据，提升对话系统在多领域、场景下的体验；+ 语义对话引擎的相关开发，以及新技术和方向的研究。 #职位要求：+ 具有3-5年NLP、智能对话相关工作经验，硕士以上学历；+ 熟练掌握自然语言处理领域的基础理论和方法；+ 熟练掌握一门以上计算机语言；+ 有语音识别经验优先。职位亮点：Udesk是国内领先的企业级智能客服平台，拥有数千家企业用户，为企业提供了一套集智能问答、即时通讯、VoIP、工单、知识库、数据分析为一体的完整的客服系统解决方案。Udesk知名客户有海底捞、星巴克、凯撒旅游、中青旅耀悦、金山WPS、每日优鲜、58转转、宝洁等。覆盖了餐饮、本地生活、旅游、O2O、企业服务等行业。Udesk在2017年6月完成B轮1亿人民币融资，投资方为君联资本、DCM。公司收入增长迅速，有大量的付费用户并开始盈利。Udesk前端用Ember.js，后台用Java、Ruby、Go。日接口调用量超过200,000,000次。","北京-西城区-西直门-成铭大厦C座1605","2018-08-13 21:14:36"
"蓦然认知科技研发部门","自然语言处理","20k-40k","北京 ","经验1-3年","硕士及以上","全职","NLP | 算法 | 机器学习 | 人工智能 | 智能硬件 | 自然语言处理","15:38  ","高管直招，国际顶尖研发团队、发展潜力大",,"北京-海淀区-学院路-学院路甲5号768园区东门A座2号门4楼","2018-08-13 21:14:39"
"金山办公软件金山办公软件 运营研发","NLP/自然语言处理","25k-50k","北京 ","经验3-5年","本科及以上","全职","机器学习 | NLP | 算法","10:57  ","技术提升,提供三餐,14薪以上,年度旅行","【职位描述】","北京-海淀区-西三旗-清河毛纺路金山办公大厦","2018-08-13 21:14:42"
"无秘","自然语言处理/NLP 工程师","30k-60k","深圳 ","经验不限","本科及以上","全职","大数据 | 人工智能 | 机器学习 | 深度学习 | NLP","10:00  ","高速发展,团队优秀,待遇丰厚","职位描述：","深圳-南山区-科技园-科技园北区大族创新大厦A座4楼","2018-08-13 21:14:44"
"马蜂窝大数据部门","NLP工程师","15k-30k","北京 ","经验1-3年","本科及以上","全职","机器学习 | 深度学习 | NLP | 算法","2018-08-07  ","发展空间大,核心项目,技术氛围好","工作职责","北京-朝阳区-朝阳区酒仙桥","2018-08-13 21:14:47"
"苹果树研发部","NLP自然语言处理工程师","25k-50k","深圳 ","经验3-5年","本科及以上","全职","语音识别 | 语音合成 | 算法 | NLP","09:46  ","腾讯研发,技术提升,弹性上班,制度规范","工作职责：1.负责语义理解、分类/聚类等系统构建；2.负责对话文本特征提取、语义理解、详情提取、对话结果生成算法研究及实现；3.负责大规模文本数据处理和数据挖掘；职位要求：1.计算机或相关专业本科及以上学历,2年以上NLP相关工作经验2.有扎实的编程基础，熟悉Java及 Python 语言，对算法和数据结构有深入研究； 3.熟练机器学习方面的基础理论知识，对深度学习等当前热点和前沿技术有完整和系统的认识；4.熟悉TensorFlow框架和TF-Serving5.熟悉NLP相关算法（分词、词性标注、命名实体识别、文本分类、聚类等），熟悉NLP和文本挖掘的关键技术，并有一定的研究成果或项目经验，有语义理解开发经验者优先；6.责任心强，有较强的分析和解决问题能力，有良好的沟通协调能力和团队合作意识。","深圳-南山区-科技园-软件产业基地2C栋1904B","2018-08-13 21:14:50"
