"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"GeexFinanceAI Lab","大数据挖掘/人工智能/神经...","80k-100k","上海 ","经验5-10年","博士及以上","全职","大数据 | 互联网金融","14:01  ","大牛云集,五险一金,公司团建","大数据挖掘/人工智能/神经网络算法科学家主要负责横跨即科内部所有业务线的模型算法的风险管理工作，需要和有机会全面了解互联网金融行业数据和业务模型及其使用的场景，包括但不限于深度规则，黑盒计划，反欺诈，场景探针等。  工作职责： 1. 负责领导和建设即科AI实验室，构建AI实验室技术基础架构。并且驱动AI项目包括：深度规则，黑盒计划，反欺诈，场景探针等；","上海-杨浦区-淞沪路619号中航天盛大厦1701室","2018-08-13 14:18:41"
"广宇科技开发部","人工智能及数据分析工程师","6k-12k","佛山 ","经验不限","本科及以上","全职","大数据 | 算法 | 数据挖掘 | 数据分析","09:09  ","年终奖,项目奖励,双休,发展空间大","岗位工作内容：","佛山-南海区-瀚天科技城A8楼504室","2018-08-13 14:18:44"
"字节跳动","高级产品经理-图片、人工智能","25k-45k","北京 ","经验3-5年","本科及以上","全职","产品设计 | 产品策划","2018-08-07  ","六险一金，弹性工作，免费三餐，扁平管理，职业大牛，团队氛围好",,"北京市-海淀区-双榆树-北京市海淀区北三环西路43号中航广场","2018-08-13 14:18:47"
"蛋壳物联","人工智能","12k-24k","深圳 ","经验1-3年","本科及以上","全职","人工智能 | 深度学习 | 算法","3天前  ","扁平管理,五险一金,出国旅游,户外活动多","熟练使用python，熟练 C/C++ 更佳","深圳-南山区-前海-南新路阳光科创中心A座713","2018-08-13 14:18:50"
"梅斯医学AI部门","人工智能","15k-20k","上海 ","经验1-3年","本科及以上","全职","人工智能 | 图像处理 | 医疗健康 | 大数据","11:49  ","人工智能,医疗项目","1 熟悉采用tensorflow解决实际问题，包括图像识别，文本识别。2 熟悉tensorflow相关接口，能够与java程序员对接。3 了解tensorflow需要的训练集，指导相关人员进行数据集的整理4 精通python语言，熟悉java语言5 对医疗项目有经验的优先","上海-徐汇区-宜山路425号光启城商务办公楼三层","2018-08-13 14:18:53"
"乐视","(高级)语音识别工程师-人...","15k-30k","北京 ","经验3-5年","本科及以上","全职","机器学习 | 语音识别 | 算法","3天前  ","人工智能方向，算法，语音识别","职位描述：","北京-朝阳区-朝阳公园-北京市朝阳区姚家园路105号乐视大厦✉","2018-08-13 14:18:56"
"捷通华声产品支持中心","人工智能训练师","7k-10k","北京 ","经验不限","本科及以上","全职","编辑","11:57  ","人工智能,半年调薪,项目奖金,五险一金","职位描述：","北京-海淀区-中关村软件园2A楼2101","2018-08-13 14:19:00"
"眸事网AI","人工智能训练师","6k-10k","上海 ","经验不限","学历不限","全职","企业服务 | 大数据","09:17  ","人工智能,智能营销,互联网","1.参与电销机器人知识库、对话库及语音库的建设与完善；2.负责知识的优化和运营工作，包括知识下线、修改及新增；3.负责构建和优化交互机器人知识库4.整理知识库内容，使公司产品更生动实用并贴合业务需求；5.了解机器人产品运作的逻辑，参与部分的逻辑建设工作。我们希望您：1、熟悉call center业务，对人工智能项目有一定的兴趣和热情2、有良好的语言文字处理能力和逻辑思维能力、能针对不同项目制定相应话术3、积极主动思考机器人知识库的内容（修改、新增）4、有客服话术培训相关工作经验","上海-虹口区-和平公园-四平路198号轻工国际大厦3楼","2018-08-13 14:19:03"
"尚德机构人工智能部","人工智能","30k-55k","北京 ","经验3-5年","本科及以上","全职","算法 | 数据挖掘","10:59  ","大空间,15薪,弹性打卡","岗位职责：","北京-朝阳区-来广营-朝来科技产业园创远路36号院5号楼一层","2018-08-13 14:19:09"
"竹间智能科技(上海)有限公司","人工智能训练师","10k-20k","上海 ","经验1-3年","本科及以上","全职","电商 | 媒体 | 运营","10:12  ","发展前景 新设职位 人工智能领域","1.负责机器人知识库、对话库及语音库的建设与完善；2.负责知识的优化和运营工作，包括知识下线、修改及新增；3.负责构建和优化垂直领域的交互机器人知识库。4.整理知识库内容，使公司产品更生动实用；5.了解机器人产品运作的逻辑，参与部分的逻辑建设工作。","上海-徐汇区-田林-宜山路700号B2幢20层","2018-08-13 14:19:13"
