"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"恒大珠三角公司系统架构部","人脸识别专家","35k-50k","深圳 ","经验5-10年","硕士及以上","全职","图像处理 | 机器学习 | 模式识别 | 人工智能","08:57  ","世界500,大平台,BAT团队,物联网","岗位职责","深圳-南山区-深圳湾-航天科技广场","2018-08-13 19:12:29"
"非常满意研发","人脸识别工程师","30k-50k","广州 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 计算机视觉","2018-08-08  ","五险一金,周末双休,股票激励,带薪年假","职责：","广州-天河区-五山-中山大道西89号天河软件园（华景园区）A栋9楼南908室","2018-08-13 19:12:33"
"平安科技","人脸识别研发工程师（深圳）","15k-20k","深圳 ","经验不限","本科及以上","全职","视频 | C++ | 算法","10:24  ","世界500强 带薪年假 节日福利 绩效丰厚","岗位职责:","深圳市-福田区-八卦岭-八卦岭八卦三路平安大厦","2018-08-13 19:12:36"
"搜狗","图片搜索-人脸识别研究员-...","20k-35k","北京 ","经验5-10年","本科及以上","全职","软件开发","08:58  ","发展前景好","【项目介绍】搜狗图片搜索汇集亿万网页图片，提供写真、海报、壁纸、素材等满足用户对不同类型图片需求；同时在图像识别研究方面成果卓著，搜狗识图首次在中文领域内实现“以图搜图”的全新功能，标志着中文互联网正式走入读图时代。这里有深度学习、图像识别方向的技术大牛与你一块研究图像方向最前沿的技术，并广泛应用到搜狗搜索的各项产品中。【职位诱惑】公司级战略重点项目，核心部门。【岗位职责】1）负责人脸识别项目商业化落地算法优化2）包括人脸图像预处理工作、人脸检测、特征点定位、配准和识别； 3）负责人脸识别模型的设计、训练","北京-海淀区-五道口-中关村东路一号院清华科技园搜狐网络大厦","2018-08-13 19:12:39"
"Obsbot寻影","人脸识别工程师","12k-20k","杭州 ","经验不限","本科及以上","全职","人工智能 | 计算机视觉 | 图像处理 | 模式识别","17:40  ","大牛带队,前沿技术,发展前景,福利从优","岗位描述 ","杭州-西湖区-三墩-紫金众创小镇，E2幢1409","2018-08-13 19:12:42"
"大道智创","人脸识别工程师","8k-15k","深圳 ","经验1-3年","本科及以上","全职","视频 | Python | 算法 | 模式识别","09:22  ","五险一金,弹性上班,下午茶,团队氛围好","岗位职责：","深圳-南山区-塘兴路众创产业园B54栋集动空间三楼309-310","2018-08-13 19:12:45"
"联想集团LR","人脸识别资深研究员","30k-50k","北京 ","经验5-10年","硕士及以上","全职","机器学习 | 深度学习 | 算法","3天前  ","带薪年假","Position Description:","北京-海淀区-西二旗-联想集团联想研究院","2018-08-13 19:12:50"
"美图公司","计算机视觉工程师 -人脸识...","15k-30k","厦门 ","经验不限","硕士及以上","全职","人工智能 | 机器学习 | 计算机视觉","2018-08-06  ","富有挑战,牛人多,福利好","岗位职责： ","厦门-思明区-软件园-软件园二期望海路6号","2018-08-13 19:12:54"
"京东金融","人脸识别算法工程师","30k-50k","北京 ","经验3-5年","硕士及以上","全职","机器学习 | 深度学习 | 模式识别 | 算法","11:55  ","班车,餐补","岗位职责：","北京-大兴区-京东总部","2018-08-13 19:12:57"
"深图智服DEEPIR","人脸识别工程师","18k-35k","北京 ","经验不限","本科及以上","全职",,"2018-08-01  ","人工智能 机器学习 深度学习 国际化","岗位职责:","北京-海淀区-中关村-中关村","2018-08-13 19:13:02"
"深图智服DEEPIR","人脸识别工程师","18k-35k","北京 ","经验不限","本科及以上","全职",,"2018-08-01  ","人工智能 机器学习 深度学习 国际化","岗位职责:","北京-海淀区-中关村-中关村","2018-08-13 19:13:04"
"快手研发线","人脸识别资深研究员","30k-50k","北京 ","经验3-5年","硕士及以上","全职","深度学习","2018-08-07  ","弹性工作,股票期权,精英团队,千万级用户","1. 负责快手人脸检测、关键点检测、人脸识别等工作工作；2. 驱动人脸识别相关服务在公司落地，并对服务结果负责。","北京-海淀区-北京海淀","2018-08-13 19:13:07"
"深圳市脸趣互联网科技有限公司","人脸识别专家工程师","50k-100k","深圳 ","经验不限","学历不限","全职","电商 | 教育 | 深度学习 | 计算机视觉 | 图像处理 | 模式识别","2018-08-09  ","公司处于互联网风口行业，发展前景广阔","在人脸识别行业有研究，特别是在室外强光下。有成功应用实践，编写过相关代码，熟悉OpenCV。","深圳-宝安区-西乡-西乡街道","2018-08-13 19:13:10"
"触景无限","人脸识别算法工程师","28k-35k","北京 ","经验5-10年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 模式识别","09:45  ","年终分红,股票期权,14薪,五险一金","岗位职责：","北京-海淀区-上地-上地创业中路32号标厂科技园3号电梯5层","2018-08-13 19:13:13"
"天地融研究院","人脸识别算法工程师","15k-25k","北京 ","经验不限","硕士及以上","全职","软件开发","10:30  ","弹性工时,交通补助,饭补,绩效奖金","岗位职责","北京-海淀区-西北旺-北清路中关村壹号","2018-08-13 19:13:16"
"Obsbot寻影","人脸识别工程师实习生","4k-8k","杭州 ","经验不限","本科及以上","全职","人工智能 | 深度学习 | 计算机视觉 | 算法","17:40  ","技术大牛,前沿技术,朝阳行业","岗位描述 ：","杭州-西湖区-三墩-紫金众创小镇，E2幢1409","2018-08-13 19:13:30"
