"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"准动网络科技研发部","图像识别工程师","10k-20k","厦门 ","经验不限","大专及以上","全职","软件开发","09:55  ","弹性工作,包吃,五险一金,晋升空间","岗位职责：","厦门-思明区-中航紫金广场A塔36层","2018-08-13 17:22:43"
"四维图新","图像识别工程师","15k-25k","北京 ","经验不限","硕士及以上","全职","地图 | 深度学习 | 计算机视觉 | 图像处理","11:01  ","六险一金","工作职责：","北京-海淀区-西北旺-四维图新大厦","2018-08-13 17:22:47"
"搜狗","图像识别-产品经理-北京-0...","25k-35k","北京 ","经验5-10年","本科及以上","全职","地图","08:58  ","公司级战略重点项目,核心部门,精英团队","【项目介绍】","北京-海淀区-五道口-中关村东路一号院清华科技园搜狐网络大厦","2018-08-13 17:22:50"
"东信北邮物联网产品部","图像识别开发工程师","10k-15k","北京 ","经验1-3年","本科及以上","全职","视频 | 软件开发 | C++","16:25  ","五险一金,年终奖,绩效金,假期多","岗位职责：","北京-海淀区-北京市海淀区知春路9号坤讯大厦7-9层","2018-08-13 17:22:53"
"数美杭州研发中心","图像识别工程师","20k-40k","杭州 ","经验1-3年","本科及以上","全职","大数据 | 深度学习 | 计算机视觉 | 图像处理 | 模式识别","07:12  ","行业大咖,自由开放,Geek","360、小米、百度等顶级互联网公司联合投资，顶级大数据公司","杭州-余杭区-东西大道","2018-08-13 17:22:56"
"中国亿教亿学网研发部","图像识别工程师","15k-30k","杭州 ","经验不限","本科及以上","全职","视频 | 图像处理 | 算法","10:48  ","公司前景,产品优势,团队氛围,办公环境","岗位职责：","杭州-拱墅区-三墩-祥园路28号乐富智汇园12号楼1201","2018-08-13 17:23:00"
"厦门云脉技术有限公司研发部","图像识别工程师","8k-15k","厦门 ","经验不限","本科及以上","全职","图像处理 | 算法","09:27  ","五险一金、5天8小时工作制、办理厦门落户","岗位要求: 1. 熟悉vc6.0编程工具。2. 熟悉c/c++编程语言。3. 良好的数学基础和逻辑能力。4. 熟悉基本的数据结构。5. 良好的英语阅读能力。6. 熟悉图像处理相关知识优先。7. 数学相关专业优先。其他要求：1. 有一定的沟通能力和团体合作精神！2. 勤奋刻苦，有上进心！3. 要有专研精神，能够沉下心来工作！","厦门-集美区-侨英-软件园三期诚毅北大街5号B区03栋4楼","2018-08-13 17:23:05"
"英然信息技术（上海）有限公司","图像识别工程师","10k-20k","武汉 ","经验3-5年","本科及以上","全职","图像处理","3天前  ","高级","职责描述","武汉-洪山区-关山大道光谷软件园D8栋恒隆大楼1F","2018-08-13 17:23:08"
"科大讯飞","研究员（图像识别）","10k-20k","武汉 ","经验3-5年","本科及以上","全职","视频 | 深度学习 | 图像处理 | 模式识别","08:54  ","前沿技术、平台大、领导nice","岗位职责","武汉-东湖新技术开发区-光谷-光谷软件园A2栋","2018-08-13 17:23:14"
"竹间智能科技(上海)有限公司","产品经理（图像识别）","15k-30k","上海 ","经验3-5年","本科及以上","全职","产品策划","10:12  ","高科技产品 强大的团队","工作内容：","上海-徐汇区-田林-宜山路700号新宜街A1栋303室（地铁九号线桂林路站4号口）","2018-08-13 17:23:18"
