"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"驭势科技路测","无人驾驶车辆路试工程师","10k-20k","北京 ","经验1-3年","本科及以上","全职","汽车 | 测试 | 测试开发","3天前  ","无人驾驶,免费工作餐,班车,合伙人文化",,"北京-房山区-中关村产业前沿技术研究院","2018-08-13 22:06:16"
"滴滴出行无人驾驶","图像算法工程师---无人驾...","25k-50k","北京 ","经验3-5年","本科及以上","全职","算法","2018-08-09  ","挑战高、福利好、团队氛围好",,"北京-海淀区-西北旺-东北旺西路8号院尚东数字山谷B区1号楼","2018-08-13 22:06:18"
"奥腾电子研发中心","ADAS算法--传感器融合，无...","20k-30k","杭州 ","经验1-3年","硕士及以上","全职","软件开发","2018-07-30  ","行业好,机会多","1、熟悉机器视觉相关算法、激光雷达、毫米波雷达、超声波雷达相关数据处理算法，多传感器融合算法，实现多目标跟踪等复杂感知功能。","杭州-下沙-白杨-杭州小沙经济开发区6号大街260号中自科技园内11栋","2018-08-13 22:06:21"
"Momenta","recruiter---【无人驾驶+AI】","10k-15k","北京 ","经验1-3年","本科及以上","全职","招聘 | HR | 人事 | 招聘","2018-08-03  ","自动驾驶,包三餐,期权,14薪","岗位职责：","北京-海淀区-北京市海淀区中关村东路8号东升大厦","2018-08-13 22:06:24"
"奇点汽车","无人驾驶车身控制算法","15k-25k","北京 ","经验不限","本科及以上","全职","汽车","09:33  ","五险一金 午餐补助 扁平管理 带薪年假","1、负责自动驾驶汽车控制系统的研发、仿真、调试及测试工作2、负责自动驾驶汽车路径跟踪控制3、配合其他模块工程师完成决策层与执行层的交互4、负责车辆运动模型构建与测试5、与其他部门协同完成系统集成和调试工作","北京-朝阳区-三里屯-嘉铭中心B座2层","2018-08-13 22:06:28"
"坎德拉导航部","无人驾驶感知与预测算法工...","15k-30k","深圳 ","经验不限","本科及以上","全职","机器学习 | 模式识别 | 算法","2018-07-17  ","弹性工作,环境好,氛围好","岗位职责：","深圳-南山区-后海-创业投资大厦","2018-08-13 22:06:31"
"NVIDIA(英伟达)","无人驾驶解决方案工程师","1k-2k","上海 ","经验5-10年","本科及以上","全职","汽车 | 嵌入式 | 系统集成","13:21  ","优秀团队,补充公积金,弹性工作,定期体检","当无人驾驶开始风靡世界，每个人都应参与到这场革命中来。为了扩展中国区无人驾驶业务，NVIDIA正在国内成立无人驾驶解决方案团队，该团队需要如下人才：","上海-浦东新区-张江-秋月路26号","2018-08-13 22:06:35"
"WESTWELLlab西井科技自动驾驶","无人驾驶现场工程师","8k-15k","上海 ","经验不限","本科及以上","全职","硬件制造 | 测试 | 自动化","2018-07-31  ","氛围环境,6险1金,一线福利,团队有爱","工作职责：","上海-长宁区-利西路102号1幢201","2018-08-13 22:06:38"
"美团点评技术架构部","无人驾驶系统架构师","25k-45k","北京 ","经验5-10年","本科及以上","全职","系统架构","11:08  ","技术大牛；免费班车","工作职责：• 负责自动驾驶系统各功能模块的设计和实现• 负责模块化、可验证的系统软件架构设计和实时性能优化• 与硬件、算法和测试团队合作，集成并优化自动驾驶系统","北京-朝阳区-望京-望京东路4号","2018-08-13 22:06:40"
"Autobrain","无人驾驶环境感知软件、算...","15k-30k","天津 ","经验1-3年","本科及以上","全职","算法 | 计算机视觉 | 图像处理 | 模式识别 | 移动互联网","2018-08-02  ","无人车,定位,雷达,识别","工作职责","天津-东丽区-新立-五经路1号","2018-08-13 22:06:44"
