"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"第四范式数据智能部","深度学习","25k-50k","北京 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习 | 算法","2018-08-08  ","人工智能,晋升空间,牛人超多,不打卡","岗位职责:1、负责物体检测与识别、特征提取、图像检索、分割、GAN、模型压缩、网络寻优等相关算法的设计与研发，对相关最新技术和发展方向进行跟踪调研；2、负责算法优化、分析和产品化，并输出相关文档。任职要求：1、计算机视觉、图像处理、机器学习、计算机、数学等相关专业硕士及以上学历，在该领域有很好的技术积累；2、熟练掌握C/C++语言或python、opencv、linux，具有较强的算法分析和实现能力；3、具有丰富的深度学习模型的训练和调试经验、熟悉一种以上的深度学习框架（caffe/tensorflow等）；4、具有良好的沟通能力和解决问题能力；5、对常用深度学习的网络框架如ResNet、VGG、Unet、Yolo、Faster Rcnn等运用过并有深入理解优先；6、有深度学习经验，CUDA/cuDNN加速经验，发表过相关领域的高质量论文优先；7、对模型压缩、调优理论有经验的优先。","北京-海淀区-上地-上地颐泉汇3层","2018-08-13 16:46:46"
"京东集团大数据与智能供应链","算法工程师-深度学习方向","30k-60k","北京 ","经验3-5年","本科及以上","全职","视频 | 深度学习 | 算法","2018-07-19  ","竞争力薪酬,平台有挑战,团队氛围好","职位描述：1. 参与构建以客户服务为核心的人货场基础标签体系，负责特定需求的深度学习算法解决方案。2、负责针对业务问题场景，设计和实现具体应用的深度学习模型/策略/算法，改进业务。3、深度研究文本、图片、视频等多种内容数据的语义理解的算法和技术，完成相关标签学习。任职要求1、计算机/通信/电子/数学/物理专业硕士以上，学历高者优先，发表过相关领域高品质论文者优先第一或第二作者优先2、熟悉主流开源框架,如caffe/tensorflow等，丰富的机器学习、图像识别/自然语言处理等相关经验3、熟悉机器学习常用算法，很强的动手开发能力，精通Python/R/Matlab之一，熟悉Tensorflow/Keras的开发部署4、熟悉神经网络理论，熟练使用TensorFlow、Keras进行建模和训练。熟悉CNN\RNN\LSTM\ReinforcedLearning原理。5、很强的逻辑分析、问题定位、数学推理能力，以及求知欲和快速学习能力6、在GitHub等平台上有好的开源项目贡献值优先","北京-通州区-京东大厦","2018-08-13 16:46:49"
"Udesk－企业级智能客服平台研发部","机器学习","15k-30k","北京 ","经验1-3年","本科及以上","全职","企业服务 | 机器学习 | 搜索 | NLP | 算法","10:02  ","团队强悍,待遇丰厚,数据规模,场景明确","职位描述：","北京-西城区-西直门-西直门南大街2号成铭大厦C座16层1605（西直门地铁站C口）","2018-08-13 16:46:52"
"荔枝","深度学习工程师","20k-40k","广州 ","经验1-3年","硕士及以上","全职","机器学习 | 深度学习","10:35  ","亿级用户产品，技术大牛多，薪酬棒福利好~","岗位职责：1、展开与音频相关的机器学习/深度学习等相关领域研究和开发工作；2、利用深度学习在音质、音色等维度上对荔枝fm平台上音频节目进行评价或转换。岗位要求：1、硕士或以上学历，至少完整做过一个机器学习项目；2、在深度学习领域有较深的理论研究和实践经验；3、熟悉至少一种当今主流的深度学习框架，包括tensorflow、caffe等；4、熟悉深度学习的可视化工具（如TensorBoard）者优先；5、思路清晰，主动性强，有很强的自我驱动力","广州-天河区-棠下-黄埔大道中羊城创意产业园","2018-08-13 16:46:54"
"中移在线服务有限公司互联网运营中心","机器学习","15k-30k","郑州 ","经验3-5年","硕士及以上","全职","教育 | 机器学习 | 算法","11:09  ","六险两金,扁平化,带薪培训","职位诱惑：","郑州-高新区-中移在线服务有限公司","2018-08-13 16:46:57"
"海深科技研发","深度学习工程师","25k-45k","上海 ","经验1-3年","硕士及以上","全职","云计算 | 人工智能 | NLP | 计算机视觉 | 模式识别","2天前  ","年底多薪,技术大牛,名校名公司","要求：","上海-浦东新区-张江-张江","2018-08-13 16:47:01"
"蓦然认知科技研发部","深度学习工程师","25k-50k","北京 ","经验不限","本科及以上","全职","软件开发 | ERP","15:38  ","五险一金,环境舒适,技术大牛,前景喜人","岗位职责","北京-海淀区-学院路-学院路甲5号768创意产业园区东门A座2号门4楼","2018-08-13 16:47:04"
"易鑫集团","深度学习(J12957)","15k-30k","北京 ","经验1-3年","本科及以上","全职","深度学习","14:11  ","上市企业,五险一金","工作职责:负责物体检测, 识别, 追踪, 语义分割等某个领域前沿技术的研发，优化，移植 深度学习前沿技术研究与跟进任职资格:1 计算机视觉，图像处理，机器学习，模式识别等相关专业本科及以上学历 2 扎实的机器学习、深度学习基础，了解深度学习主流技术，精通至少一种深度学习框架 3 熟练掌握c/c++/python语言及常用数据结构算法，动手能力强，有较强的算法分析及实现能力 4 熟练阅读相关领域英文论文并能快速编程实现5 熟悉模型压缩，优化，ARM移植者优先6 在顶级学术会议期刊发表过相关论文， 参加过国际国内算法类竞赛，并取得一定名次者优先","北京-海淀区-西直门-海淀区首体南路6号新世纪饭店写字楼","2018-08-13 16:47:07"
"苏州锦佰安研发部","深度学习研究员","20k-40k","北京 ","经验不限","本科及以上","全职","机器学习 | 深度学习 | 算法","15:30  ","人工智能,前景广阔,福利齐全,技术领先","岗位职责：","北京-海淀区-上地-上地三街9号金隅嘉华大厦B座9层B1010","2018-08-13 16:47:10"
"区块节点","深度学习研究员","30K-40K","北京 ","经验5-10年","硕士及以上","全职","架构师","10:31  ","发展前景乐观","工作职责：","北京-朝阳区--北京市朝阳区创达三路912号靠近东方国信","2018-08-13 16:47:13"
"AI考拉技术部","深度学习工程师","10k-20k","广州 ","经验不限","学历不限","全职","人工智能 | 机器学习 | 深度学习 | NLP","11:58  ","五险一金,年度体检,员工旅游,餐饮补贴","岗位职责:","广州-海珠区-客村-新港中路艺苑南路13号大院5栋201-1室","2018-08-13 16:47:16"
