"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"邦得鼎盛","算法研究员","10k-18k","重庆 ","经验1-3年","本科及以上","全职","信息安全 | 算法 | 数据挖掘 | 数据处理","08:45  ","全勤奖,节假日休息,定期体检,发展空间大","职位描述","重庆-江北区-观音桥-建新南路1号中信大厦25-1","2018-08-13 23:13:09"
"苏宁易购","算法研究员","35k-70k","南京 ","经验不限","本科及以上","全职","人工智能 | 建模 | 推荐 | 算法","2018-08-03  ","前沿","岗位职责：","南京-玄武区-徐庄软件园苏宁大道1号苏宁总部","2018-08-13 23:13:13"
"Face++","算法研究员","30k-60k","北京 ","经验不限","本科及以上","全职","软件开发 | ERP","2018-07-24  ","重点部门 技术大牛多 培训分享氛围好","岗位职责：","北京-海淀区-北京大学-科学院南路2号融科资讯中心A座3层","2018-08-13 23:13:19"
"搜狗桌面事业部","智能对话-算法研究员","20k-40k","杭州 ","经验1-3年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","08:58  ","前沿技术方向、技术氛围浓厚","【项目介绍】","杭州-下沙-下沙-下沙科技城","2018-08-13 23:13:23"
"杭州鲁尔物联","算法研究员","18k-24k","杭州 ","经验3-5年","本科及以上","全职","人工智能","10:29  ","人工智能,图像分析,数据分析","Job Direction: Artificial Intelligence and Pattern RecognitionParticipate in Machine learning/deep learning,and support vector machine of artificial intelligence and pattern recognition technologies such as modeling and implementation. Applies those technologies to the big data mining and analysis of Installed based networks. Ruhr will Implement the service mode of the revolution and greatly enhance user experience of current /future network, cloud data centers and software application. Based on actual scenarios and issues, we will do algorithm research and develop the system and output of the service of the big data-based intelligent expert system or solution. Assist Ruhr safety IoT to achieve an aim that Ruhr is able to support client to have precast ability of potential hazards.","杭州-余杭区-文一西路科技大道8-5,5幢7层","2018-08-13 23:13:26"
"印象笔记研究院","高级算法研究员","40k-50k","北京 ","经验5-10年","硕士及以上","全职","图像处理 | 语音识别 | 模式识别 | 语音合成","3天前  ","本地化团队,产品前景,人工智能,产品棒","职位描述: ","北京-朝阳区-望京绿地中心","2018-08-13 23:13:29"
"未动科技研发部","算法研究员","25k-45k","北京 ","经验1-3年","硕士及以上","全职","机器学习 | 计算机视觉 | 图像处理 | 模式识别","3天前  ","人工智能,大牛团队,前沿科技,股票期权","岗位职责：","北京-朝阳区-望京-来广营诚盈中心C座5号楼601","2018-08-13 23:13:32"
"广发信用卡中心","算法研究主任","15k-25k","广州 ","经验1-3年","硕士及以上","全职","大数据 | 风控","2018-08-02  ","机器学习,大数据,模型开发,AI","1、从事前沿大规模机器学习算法的研究，负责人工智能前沿技术的调研与探索；2、研究数据挖掘或统计学习领域的前沿技术，并用于实际问题的建模和优化；3、通过对数据的敏锐洞察，深入挖掘产品潜在价值和需求，进而提供更有价值的技术和策略，推动产品成长；","广州-天河区-冼村-珠江新城珠江西路10号高德置地大厦C栋","2018-08-13 23:13:35"
"美团点评出行事业部","算法研究员/高级专家","40k-80k","北京 ","经验5-10年","本科及以上","全职","Java | 算法 | 数据挖掘","14:16  ","15.5薪,弹性工作,发展空间,核心团队","岗位职责：","北京-朝阳区-望京-望京恒电大厦","2018-08-13 23:13:38"
"中移在线服务有限公司IT系统部","语音算法研究","20k-25k","郑州 ","经验3-5年","硕士及以上","全职","教育 | 人工智能 | 机器学习 | 模式识别 | 算法","11:49  ","五险一金,企业年金,带薪年假,通话餐补","1、负责语音识别技术的声学模型、信号处理、语音识别、情绪识别等相关算法的研究；","郑州-高新区-郑州","2018-08-13 23:13:41"
"志皓咨询物流络绎事业部","算法研究员","20k-40k","北京 ","经验不限","硕士及以上","全职","物流 | 企业服务 | 人工智能 | 深度学习 | 机器学习 | 算法","2018-07-31  ","股权,期权,底薪高,安房置业","岗位职责：","北京-朝阳区-朝阳区天达路4号","2018-08-13 23:13:44"
"清软创新","算法研究员","15k-20k","北京 ","经验不限","硕士及以上","全职","移动互联网","2018-08-08  ","五险一金,周末双休,餐饮补贴,通讯补贴","1、从事公司业务领域算法的研究、仿真、开发工作；","北京-昌平区-回龙观-回龙观金域国际中心","2018-08-13 23:13:47"
"广电银通研究院","高级算法研究员","35k-45k","广州 ","经验3-5年","硕士及以上","全职","视频 | 图像处理 | 模式识别 | 算法","09:21  ","国企雄资,丰厚年终奖,免费班车,六险一金","岗位职责：  ","广州-天河区-高唐路228号","2018-08-13 23:13:51"
"光启集团公共安全中心","算法研究员","20k-40k","深圳 ","经验3-5年","硕士及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","2018-08-06  ","上市公司,大牛多,核心技术,晋升空间大","岗位职责：","深圳-南山区-软件大厦","2018-08-13 23:13:55"
"滴滴出行大数据策略","算法研究员／数据科学家","25k-50k","北京 ","经验3-5年","硕士及以上","全职","软件开发 | ERP","2018-08-09  ","15薪,六险一金,空间大,大牛多","岗位职责：","北京市-海淀区-西北旺-北京市海淀区东北旺西路8号院尚东数字山谷B区1号楼","2018-08-13 23:13:58"
"苏宁易购","算法研究员","35k-70k","北京 ","经验不限","本科及以上","全职","建模 | 算法 | 人工智能 | 数据挖掘","2018-08-03  ","前沿","岗位职责：","北京-朝阳区-四惠-苏宁生活广场","2018-08-13 23:14:14"
"搜狗搜索事业部","智能对话-算法研究员","20k-40k","北京 ","经验3-5年","本科及以上","全职","工具软件 | 算法","08:58  ","探索最前沿技术，技术积淀深厚","【项目介绍】 ","北京-海淀区-五道口-中关村东路一号院清华科技园搜狐网络大厦","2018-08-13 23:14:17"
"中移在线服务有限公司IT系统部","语音算法研究","25k-30k","北京 ","经验3-5年","硕士及以上","全职","教育 | 人工智能 | 机器学习 | 模式识别 | 算法","11:49  ","五险一金,企业年金,带薪年假,通话餐补","1、负责语音识别技术的声学模型、信号处理、语音识别、情绪识别等相关算法的研究；","北京-西城区-金融街-广宁伯街2号金泽大厦","2018-08-13 23:14:20"
"一览科技研发部","AI算法研究员","15k-30k","北京 ","经验不限","本科及以上","全职","人工智能 | 机器学习 | 深度学习 | 算法","14:52  ","福利优厚,技术氛围好","岗位职责：1、从事机器学习、深度学习在图像识别、自然语言处理等领域的算法模型研究和优化工作；2、支持公司相关产品在深度学习领域的需求，并研究算法解决方案； 任职要求：1、本科及以上学历，无工作经验要求，数据挖掘、机器学习、自然语言处理等人工智能相关的专业优先；2、熟悉至少一种深度学习训练工（Caffe/Theano/Keras/ConvNet/TensorFlow/Torch等）；3、精通机器学习、图像识别、自然语言处理等领域的相关算法；4、良好的数学基础，及信息搜索、文献阅读的能力；5、有一定的编程能力，能够写出算法的Demo，不限制编程语言；6、富有想象力和学习能力，良好的团队合作精神和分析与解决问题的能力。","北京-朝阳区-望京-诚盈中心3号楼525室","2018-08-13 23:14:22"
"享物说研发中心","算法研究员","15k-28k","上海 ","经验1-3年","本科及以上","全职","大数据 | 算法 | 数据挖掘","2天前  ","福利多多,部门氛围好,大牛云集,发展空间大","岗位职责：","上海-徐汇区-徐家汇-凯旋路2218号方糖小镇3楼","2018-08-13 23:14:25"
"绿里技术部","算法研究员","10k-15k","北京 ","经验1-3年","本科及以上","全职","数据分析 | 数据处理","2018-08-06  ","五险一金,带薪年假,奖金,补助","岗位职责：","北京-通州区-马驹桥-中关村科技园区通州园金桥科技产业基地景盛南四街17号75号楼","2018-08-13 23:14:28"
"武汉政通","资深算法研究员","15k-25k","武汉 ","经验3-5年","硕士及以上","全职","机器学习 | 深度学习 | 算法","09:52  ","AI,大牛多,福利好","岗位职责：","武汉-洪山区-光谷-光谷金融港B4栋12楼","2018-08-13 23:14:31"
