世茂运河城尚运苑,368,万,26958,元/平米,3室2厅,低楼层,南 北,136.51平米,未知年建,姑苏,沧浪新城
阳光水榭花园,190,万,21215,元/平米,2室1厅,中楼层,南,89.56平米,2006年建,吴中,城南
湖岸名家南区,155,万,20946,元/平米,2室2厅,低楼层,南,74平米,2007年建,吴中,郭巷
香城颐园,200,万,22334,元/平米,2室2厅,低楼层,南 北,89.55平米,2012年建,相城,元和
雅戈尔YAKR公馆,440,万,41084,元/平米,2室2厅,高楼层,南,107.1平米,2008年建,工业园区,玲珑
兰园公寓,124,万,13066,元/平米,2室2厅,低楼层,东 西,94.91平米,2013年建,吴中,城南
东方花园(工业园区),234,万,29054,元/平米,3室2厅,中楼层,南,80.54平米,2013年建,工业园区,东环
中茵皇冠国际,780,万,38806,元/平米,3室2厅,低楼层,暂无数据,201平米,2006年建,工业园区,湖西CBD
锦绣江南(相城区),215,万,17064,元/平米,3室2厅,中楼层,暂无数据,126平米,2005年建,相城,元和
湖滨花园(吴中区),550,万,29570,元/平米,4室2厅,高楼层,南,186平米,2004年建,吴中,郭巷
锦荷苑,240,万,23491,元/平米,3室2厅,高楼层,南 北,102.17平米,2011年建,姑苏,平江新城
路劲主场二三期,330,万,29428,元/平米,3室2厅,中楼层,西,112.14平米,2013年建,工业园区,湖东
石湖华城,255,万,19750,元/平米,3室2厅,中楼层,南,129.12平米,2011年建,吴中,越溪
弘阳上湖,328,万,24662,元/平米,4室2厅,低楼层,南,133平米,2016年建,吴中,尹山湖
康桥丽都,285,万,22938,元/平米,2室2厅,低楼层,南 北,124.25平米,2011年建,相城,元和
阳光水榭花园,300,万,21898,元/平米,3室2厅,低楼层,南,137平米,2015年建,吴中,城南
恒基旭辉城,259,万,22270,元/平米,3室2厅,中楼层,南,116.3平米,2017年建,高新,浒墅关经济技术开发区
香城花园三区,255,万,20079,元/平米,3室2厅,高楼层,南,127平米,2009年建,相城,元和
路劲凤凰城,415,万,29762,元/平米,3室2厅,中楼层,南,139.44平米,2006年建,工业园区,湖东
旭辉美澜城,235,万,20508,元/平米,3室2厅,低楼层,暂无数据,114.59平米,2016年建,吴中,郭巷
万达广场(姑苏区),110,万,21261,元/平米,1室1厅,高楼层,南,51.74平米,2009年建,姑苏,平江新城
苏高新天之运,390,万,19797,元/平米,5室2厅,高楼层,南 北,197平米,2013年建,高新,枫桥
枫情水岸,490,万,35822,元/平米,4室2厅,低楼层,南,136.79平米,2010年建,工业园区,湖东CBD
养蚕里新村,145,万,27359,元/平米,2室1厅,中楼层,暂无数据,53平米,1981年建,姑苏,南门
三元一村,82,万,18223,元/平米,2室1厅,低楼层,南,45平米,1999年建,姑苏,金门
石湖华城,255,万,18614,元/平米,3室2厅,中楼层,南 北,137平米,2011年建,吴中,越溪
华辰嘉园北区,228,万,21112,元/平米,3室1厅,高楼层,南,108平米,2010年建,相城,活力岛
都市花园西区,450,万,30202,元/平米,3室2厅,低楼层,南,149平米,2004年建,工业园区,湖西CBD
正源悦庭,228,万,16057,元/平米,4室2厅,低楼层,南 北,142平米,2015年建,相城,元和
三元三村,155,万,17383,元/平米,3室1厅,中楼层,南,89.17平米,1998年建,姑苏,金门
万科北宸之光,165,万,19808,元/平米,3室2厅,低楼层,南,83.3平米,2017年建,相城,活力岛
大观花园北区,335,万,28183,元/平米,3室2厅,高楼层,南 北,118.87平米,2008年建,姑苏,平江新城
保利独墅西岸,250,万,21552,元/平米,3室2厅,低楼层,南,116平米,2015年建,吴中,郭巷
恒基水漾花城,185,万,21185,元/平米,2室2厅,低楼层,南,87.33平米,2017年建,相城,活力岛
玲珑湾花园三区,623,万,44821,元/平米,3室2厅,中楼层,南,139平米,2005年建,工业园区,玲珑
湖滨花园(吴中区),235,万,27012,元/平米,2室1厅,中楼层,暂无数据,87平米,2014年建,吴中,郭巷
群谊二村,200,万,21863,元/平米,3室1厅,中楼层,南,91.48平米,1998年建,工业园区,娄葑
越湖家天下,271,万,21750,元/平米,3室2厅,中楼层,南 北,124.6平米,2014年建,吴中,城南
挹秀新村,155,万,15226,元/平米,3室2厅,高楼层,南,101.8平米,1996年建,姑苏,平江新城
太阳星辰花园湖邑,415,万,34512,元/平米,3室2厅,高楼层,南,120.25平米,2010年建,工业园区,东沙湖
红鼎湾花园,330,万,15000,元/平米,4室2厅,中楼层,南 北,220平米,2013年建,相城,元和
水韵花都家园,340,万,24056,元/平米,5室2厅,高楼层,南 北,141.34平米,2014年建,相城,活力岛
石湖华城,184,万,19619,元/平米,2室2厅,高楼层,南,93.79平米,2011年建,吴中,越溪
桐馨苑,217,万,17643,元/平米,3室2厅,低楼层,南,123平米,1998年建,姑苏,胥江
苏公馆,370,万,30579,元/平米,3室2厅,中楼层,南,121平米,2015年建,姑苏,沧浪新城
新湖明珠城望湖苑,225,万,19044,元/平米,3室2厅,高楼层,南,118.15平米,2016年建,吴江,太湖新城（吴江）
桂花新村,183,万,25096,元/平米,3室1厅,中楼层,南,72.92平米,1996年建,姑苏,南门
尚景湾,230,万,17294,元/平米,4室2厅,高楼层,南 北,133平米,2015年建,相城,黄桥
金辉优步花园,285,万,32387,元/平米,3室2厅,低楼层,南,88平米,2017年建,工业园区,青剑湖
湖畔天城,438,万,32349,元/平米,3室2厅,低楼层,南,135.4平米,2010年建,工业园区,湖东CBD
苏州铂悦府,665,万,47164,元/平米,4室2厅,共17层,南,141平米,未知年建,工业园区,东沙湖
城西教师新村,205,万,22778,元/平米,3室1厅,低楼层,南,90平米,2007年建,姑苏,沧浪新城
景瑞御江山,159,万,17866,元/平米,3室2厅,高楼层,南,89平米,2015年建,吴中,越溪
理想家园,201,万,15228,元/平米,3室2厅,中楼层,南,132平米,2010年建,高新,浒墅关经济技术开发区
南山金城1958,184,万,20418,元/平米,3室2厅,高楼层,南,90.12平米,2009年建,姑苏,金阊新城
越湖名邸,180,万,19355,元/平米,2室2厅,低楼层,南,93平米,2009年建,吴中,城南
中海国际社区（三区）,552,万,39314,元/平米,4室2厅,高楼层,南,140.41平米,2013年建,工业园区,湖东
绿地华尔道,705,万,51460,元/平米,4室2厅,中楼层,东 南 北,137平米,2014年建,工业园区,白塘
星光耀花园,186,万,19788,元/平米,3室1厅,低楼层,南,94平米,未知年建,姑苏,金阊新城
恒基水漾花城,208,万,18408,元/平米,3室2厅,高楼层,南 北,113平米,2017年建,相城,活力岛
中锐姑苏尚城,288,万,30968,元/平米,3室2厅,中楼层,南,93平米,2015年建,姑苏,平江新城
香城花园一区,258,万,18862,元/平米,3室2厅,中楼层,南,136.79平米,2012年建,相城,元和
新湘苑,246,万,23884,元/平米,3室2厅,中楼层,南,103平米,2000年建,姑苏,苏州大学
现代花园,145,万,20715,元/平米,2室1厅,中楼层,南,70平米,2004年建,姑苏,葑门
君地新大陆,100,万,11692,元/平米,2室2厅,高楼层,东南,85.53平米,2013年建,工业园区,青剑湖
正荣国领,370,万,25875,元/平米,4室2厅,中楼层,南,143平米,2016年建,吴中,南双湖
名馨花园,470,万,28005,元/平米,4室2厅,中楼层,南,167.83平米,2005年建,高新,狮山
石湖华城,230,万,21619,元/平米,3室2厅,中楼层,南 北,106.39平米,2008年建,吴中,越溪
湖滨花园(吴中区),250,万,24670,元/平米,2室2厅,中楼层,南,101.34平米,2011年建,吴中,郭巷
丰隆城市中心,538,万,37362,元/平米,2室2厅,高楼层,东,144平米,2016年建,工业园区,湖东CBD
朗诗东吴绿郡,357,万,25320,元/平米,3室2厅,高楼层,南,141平米,2013年建,吴中,城南
石湖华城,190,万,20192,元/平米,2室2厅,中楼层,南,94.1平米,2011年建,吴中,越溪
三元一村,120,万,17959,元/平米,3室1厅,高楼层,南,66.82平米,1999年建,姑苏,金门
鑫苑湖居世家,330,万,23240,元/平米,4室2厅,中楼层,南,142平米,2016年建,吴中,尹山湖
石湖华城,174,万,17268,元/平米,2室2厅,高楼层,南,100.77平米,2011年建,吴中,越溪
保利独墅西岸,320,万,35956,元/平米,2室2厅,高楼层,南,89平米,2015年建,吴中,郭巷
阳光水榭花园,330,万,23077,元/平米,4室2厅,高楼层,东,143平米,2015年建,吴中,城南
龙湖狮山原著,515,万,39422,元/平米,3室2厅,中楼层,南,130.64平米,2018年建,高新,狮山
旭辉悦庭,155,万,20395,元/平米,2室2厅,中楼层,南 北,76平米,2015年建,高新,浒关
金辉融侨城,308,万,23072,元/平米,5室2厅,低楼层,南,133.5平米,2012年建,相城,活力岛
南山巴黎印象,480,万,35295,元/平米,4室2厅,高楼层,南,136平米,2008年建,工业园区,湖东CBD
解放新村,97,万,18258,元/平米,2室1厅,中楼层,南,53.13平米,1995年建,姑苏,胥江
万业湖墅金典,278,万,22064,元/平米,4室2厅,低楼层,南,126平米,2013年建,吴中,郭巷
苏州湾景苑,215,万,21288,元/平米,2室2厅,中楼层,南,101平米,2018年建,吴江,太湖新城（吴江）
中房颐园,270,万,20840,元/平米,3室2厅,低楼层,南 北,129.56平米,未知年建,吴江,太湖新城（吴江）
水语金成花园,280,万,21875,元/平米,4室2厅,高楼层,南,128平米,2017年建,高新,浒关
石湖华城,240,万,20626,元/平米,3室2厅,高楼层,东 西,116.36平米,2011年建,吴中,越溪
清水湾花园,176,万,18925,元/平米,2室2厅,低楼层,南 北,93平米,2007年建,吴中,城南
尹山湖韵佳苑,220,万,26191,元/平米,2室2厅,高楼层,南,84平米,2016年建,吴中,尹山湖
中海双湾花园一期,270,万,22420,元/平米,3室2厅,低楼层,南 北,120.43平米,2015年建,吴中,尹山湖
新城金郡南区二期,250,万,19732,元/平米,3室2厅,低楼层,南,126.7平米,2012年建,吴中,城南
中海国际社区（一区）,318,万,36194,元/平米,2室2厅,低楼层,南,87.86平米,2012年建,工业园区,湖东
华恒家园,240,万,21607,元/平米,3室2厅,中楼层,南 北,111.08平米,2000年建,姑苏,平江新城
湖岸名家北区,300,万,25863,元/平米,3室2厅,低楼层,暂无数据,116平米,2007年建,吴中,郭巷
劳动路95号,133,万,20167,元/平米,3室1厅,高楼层,南,65.95平米,未知年建,姑苏,胥江
金辉融侨城,337,万,25023,元/平米,4室2厅,中楼层,南,134.68平米,2012年建,相城,活力岛
石湖华城,189,万,21024,元/平米,2室2厅,低楼层,南 北,89.9平米,2011年建,吴中,越溪
越湖家天下,187,万,21250,元/平米,2室2厅,高楼层,南,88平米,2014年建,吴中,城南
龙湖狮山原著,575,万,40222,元/平米,4室2厅,低楼层,南,142.96平米,2018年建,高新,狮山
南亚花园,220,万,15625,元/平米,3室2厅,低楼层,南 北,140.8平米,2005年建,相城,元和
华润红橡世家,283,万,20809,元/平米,3室2厅,高楼层,南,136平米,2018年建,相城,元和
万科湖西玲珑,420,万,29824,元/平米,4室2厅,低楼层,南,140.83平米,2017年建,吴中,郭巷
保利独墅西岸,600,万,32086,元/平米,4室2厅,中楼层,南 北,187平米,2015年建,吴中,郭巷
